Page|Type|Price|Address|Description|Weblink
2|3.5 Zimmer, 71m², CHF 2’590.– | CHF 2’590.– |Winterthurerstrasse 295, 8057 Zürich|Zentrale 3.5 Zimmerwohnung ab 01.06.2024|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000990624
2|2.5 Zimmer, 56m², CHF 4’095.– | CHF 4’095.– |Dienerstrasse 8, 8004 Zürich|2 ½ Zimmer-Wohnung, 8004 Zürich|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000836018
2|1.5 Zimmer, 56m², CHF 3’020.– | CHF 3’020.– |Seefeldstrasse 102, 8008 Zürich|Stilvolles Wohnen im Trendquartier Seefeld|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000951176
2|3.5 Zimmer, 140m², CHF 6’790.– | CHF 6’790.– |Sonneggstrasse 45, 8006 Zürich|Traumwohnung mit Blick über die Stadt|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000861392
2|4.5 Zimmer, 109m², CHF 5’990.– | CHF 5’990.– |Wartauweg 19, 8049 Zürich|4,5-Zimmer-Gartenwohnung mit Sitzplatz - Erstvermietung nach Sanierung - Wohnen im Kult|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000946773
2|3.5 Zimmer, 88m², CHF 4’990.– | CHF 4’990.– |Wartauweg 19, 8049 Zürich|3,5-Zimmerwohnung - Erstvermietung nach Sanierung - Wohnen im Kult|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000946896
2|3.5 Zimmer, 81m², CHF 5’983.– | CHF 5’983.– |Tödistrasse 63, 8002 Zürich|Kernsanierte Wohnung im Zentrum von Zürich|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000901292
2|4.5 Zimmer, 121m², CHF 5’125.– | CHF 5’125.– |Wildbachstrasse 39, 8008 Zürich|Erstvermietung einer renovierten 4.5 ZWG mit Galerie im beliebten Wohnquartier Zürich-Seefeld|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000876980
2|2.5 Zimmer, 95m², CHF 3’000.– | CHF 3’000.– |Leutschenbachstrasse 85, 8052 Zürich|2,5 Apartment with incredibile views, 6th floor|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000824566
2|1 Zimmer, 37m², CHF 1’630.– | CHF 1’630.– |Culmannstrasse 30, 8006 Zürich|Hochwertiges studio vollmöbliert mit Balkon|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000642009
5|4.5 Zimmer, 108m², CHF 4’630.– | CHF 4’630.– |Wiedingstrasse/Austrasse, 8045 Zürich|Traumhafte Familienwohnung im beliebten Kreis 3|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000986807
5|5.5 Zimmer, 133m², CHF 5’690.– | CHF 5’690.– |Wiedingstrasse/Austrasse, 8045 Zürich|Ob Familie oder WG wir haben das passende Objekt für Sie|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000964738
5|3.5 Zimmer, 99m², CHF 3’590.– | CHF 3’590.– |Im Glockenacker 56, 8053 Zürich|Hier wartet Ihr neues Zuhause auf Sie|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000956518
5|2.5 Zimmer, 87m², CHF 2’595.– | CHF 2’595.– |Eierbrechtstrasse 59/61, 8053 Zürich|Moderne und grosszügige Wohnung in Zürich-Witikon|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000889443
5|4.5 Zimmer, 122m², CHF 4’190.– | CHF 4’190.– |Pfingstweidstrasse 104B, 8005 Zürich|Liebe auf den ersten Blick!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000814794
5|5 Zimmer, 156m², CHF 6’700.– | CHF 6’700.– |Utoquai 49, 8008 Zürich|Wohnen am Seebecken|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000672012
5|4.5 Zimmer, 165m², CHF 6’140.– | CHF 6’140.– |Plattenstr. 34, 8032 Zürich|Attikawohnung mit eigener Rooftop|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000490665
5|3.5 Zimmer, CHF 6’285.– | CHF 6’285.– |Hadlaubstr. 73, 8006 Zürich|Wohnoase der Spitzenklasse mit atemberaubender Aussicht!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000464770
5|4.5 Zimmer, 121m², CHF 4’510.– | CHF 4’510.– |Forsterstrasse 67, 8044 Zürich|Charmante Wohnung am Zürichberg|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000366224
5|30m², Preis auf Anfrage | Preis auf Anfrage |Eggbühlstrasse 36, 8050 Zürich|ausgebaute Büroräumlichkeiten / Ateliers an zentraler Lage, 30 - 100 m2|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/3003137132
5|100m², Preis auf Anfrage | Preis auf Anfrage |Eggbühlstrasse 36, 8050 Zürich|ausgebaute Büroräumlichkeiten an zentraler Lage, 100-200 m2 Kopie|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/3003137125
5|3.5 Zimmer, 80m², CHF 2’380.– | CHF 2’380.– |Albisstr. 124, 8038 Zürich|Frisch sanierte 3.5 Zimmer Wohnung in Wollishofen|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001022524
5|3.5 Zimmer, 105m², CHF 3’165.– | CHF 3’165.– |Hohlstrasse 485a, 8048 Zürich|Urbanes & Zentrales Wohnen. Dein Labitzke.|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001022454
5|2.5 Zimmer, 95m², CHF 4’455.– | CHF 4’455.– |Aemtlerstr. 17, 8003 Zürich|Loftwohnung mit grosser Dachterrasse an zentraler Lage|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001022257
5|3.5 Zimmer, 99m², CHF 4’080.– | CHF 4’080.– |Katharinenweg 5, 8002 Zürich|ERSTVERMIETUNG nach Totalsanierung|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001019847
5|3.5 Zimmer, 99m², CHF 4’080.– | CHF 4’080.– |Katharinenweg 5, 8002 Zürich|ERSTVERMIETUNG nach Totalsanierung|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001019811
5|2 Zimmer, 70m², CHF 3’431.– | CHF 3’431.– |Baslerstrasse 77, 8048 Zürich|Urbanes Wohnen in einem inspirierenden Umfeld|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001018076
5|2.5 Zimmer, 66m², CHF 2’782.– | CHF 2’782.– |Dorfstrasse 40, 8037 Zürich|Wunderschöne helle 2.5 Zi.-Maisonettewohnung in Wipkingen|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001017216
5|3.5 Zimmer, 113m², CHF 4’840.– | CHF 4’840.– |Badenerstr. 157, 8004 Zürich|Moderne Altbauwohnung mitten im Stadtzentrum|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001015840
5|4.5 Zimmer, 110m², CHF 4’765.– | CHF 4’765.– |Badenerstr. 157, 8004 Zürich|Moderne Altbauwohnung mitten im Stadtzentrum|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001015839
6|1 Zimmer, 23m², CHF 1’650.– | CHF 1’650.– |Ankerstrasse 110, 8004 Zürich|Sanierte 1-Zimmerwohnungen beim Helvetiaplatz zu vermieten!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001015278
6|3.5 Zimmer, 112m², CHF 3’450.– | CHF 3’450.– |Zwirnerstrasse 78, 8041 Zürich|Wunderschöne, grosszügige Wohnung|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001014817
6|3 Zimmer, 64m², CHF 1’895.– | CHF 1’895.– |Riedenhaldenstr. 30, 8046 Zürich|3-Zimmerwohnung mit internem Estrich, Reduit / KEIN Balkon|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001013998
6|5.5 Zimmer, 139m², CHF 3’870.– | CHF 3’870.– |Hädrichstr. 7, 8047 Zürich|moderne Architektur, spannend inszeniert|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001012043
6|2.5 Zimmer, 71m², CHF 2’700.– | CHF 2’700.– |Bachmattstr. 59, 8048 Zürich|modernes Zuhause|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001011959
6|3.5 Zimmer, 83m², CHF 3’055.– | CHF 3’055.– |Rainfussweg 3, 8038 Zürich|Ihre Traumwohnung - modern, hell und an zentraler Lage|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001010547
6|5.5 Zimmer, 186m², CHF 5’300.– | CHF 5’300.– |Loogartenstrasse 22, 8048 Zürich|Attraktives 5.5 Zimmer-Reihen-Eckeinfamilienhaus in Zürich-Altstetten|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001007944
6|3.5 Zimmer, 85m², CHF 2’760.– | CHF 2’760.– |Welchogasse 5, 8050 Zürich|Schönes und  zentrales Wohnen beim Bahnhof Oerlikon|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001002683
6|4 Zimmer, 71m², CHF 2’750.– | CHF 2’750.– |Langgrütstrasse 103, 8047 Zürich|Wohnung im ruhigen Wohnquatier|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000998360
6|3 Zimmer, 83m², CHF 3’506.– | CHF 3’506.– |Baslerstrasse 77, 8048 Zürich|Urbanes Wohnen in einem inspirierenden Umfeld|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000998358
6|2 Zimmer, 46m², CHF 2’380.– | CHF 2’380.– |Marienstrasse 20, 8003 Zürich|Wohnen im Herzen der Stadt Zürich|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000997845
6|2 Zimmer, 43m², CHF 2’200.– | CHF 2’200.– |Tuggenerstr. 3, 8008 Zürich|Wohnung an zentraler Lage im Seefeld|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000997617
6|3 Zimmer, 89m², CHF 4’220.– | CHF 4’220.– |Forchstrasse 24, 8008 Zürich|Wohnen auf zwei Etagen|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000996757
6|6 Zimmer, 147m², CHF 6’370.– | CHF 6’370.– |Forchstrasse 22, 8008 Zürich|6-Zimmer-Maisonette-Wohnung an bevorzugter Lage|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000996750
6|6.5 Zimmer, 185m², CHF 8’923.– | CHF 8’923.– |8002 Zürich|6 ½ Zimmer-Jugendstil-Wohnung mit 185m2 Netto-Wohnfläche mit Balkon und Veranda|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000992974
6|4.5 Zimmer, 108m², CHF 3’947.– | CHF 3’947.– |Trichtenhausenstrasse 86, 8053 Zürich|Ihre neue 4.5-Zimmerwohnung in der Siedlung Verdiana!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000968829
6|4.5 Zimmer, 155m², CHF 3’950.– | CHF 3’950.– |Hadlaubstr. 41, 8006 Zürich|Wohnung im schönen Kreis 6 gesucht?|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000962664
6|3 Zimmer, 65m², CHF 1’799.– | CHF 1’799.– |Bombachstr. 24, 8049 Zürich|"Heimelige Wohnung in Höngg mieten, ""Befristet bis 31.03.2025"""|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000946253
6|4 Zimmer, 77m², CHF 3’461.– | CHF 3’461.– |Birmensdorferstrasse 32, 8004 Zürich|Charmante 4-Zimmerwohnung im Herzen Zürich`s|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000946243
6|4.5 Zimmer, 91m², CHF 2’740.– | CHF 2’740.– |Dorfstr. 12, 8037 Zürich|Charmante Wohnung in ZH-Wipkingen|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000934344
7|2 Zimmer, 43m², CHF 2’200.– | CHF 2’200.– |Tuggenerstr. 3, 8008 Zürich|Wohnung an zentraler Lage im Seefeld|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000997617
7|3 Zimmer, 89m², CHF 4’220.– | CHF 4’220.– |Forchstrasse 24, 8008 Zürich|Wohnen auf zwei Etagen|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000996757
7|6 Zimmer, 147m², CHF 6’370.– | CHF 6’370.– |Forchstrasse 22, 8008 Zürich|6-Zimmer-Maisonette-Wohnung an bevorzugter Lage|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000996750
7|6.5 Zimmer, 185m², CHF 8’923.– | CHF 8’923.– |8002 Zürich|6 ½ Zimmer-Jugendstil-Wohnung mit 185m2 Netto-Wohnfläche mit Balkon und Veranda|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000992974
7|4.5 Zimmer, 108m², CHF 3’947.– | CHF 3’947.– |Trichtenhausenstrasse 86, 8053 Zürich|Ihre neue 4.5-Zimmerwohnung in der Siedlung Verdiana!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000968829
7|4.5 Zimmer, 155m², CHF 3’950.– | CHF 3’950.– |Hadlaubstr. 41, 8006 Zürich|Wohnung im schönen Kreis 6 gesucht?|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000962664
7|3 Zimmer, 65m², CHF 1’799.– | CHF 1’799.– |Bombachstr. 24, 8049 Zürich|"Heimelige Wohnung in Höngg mieten, ""Befristet bis 31.03.2025"""|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000946253
7|4 Zimmer, 77m², CHF 3’461.– | CHF 3’461.– |Birmensdorferstrasse 32, 8004 Zürich|Charmante 4-Zimmerwohnung im Herzen Zürich`s|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000946243
7|4.5 Zimmer, 91m², CHF 2’740.– | CHF 2’740.– |Dorfstr. 12, 8037 Zürich|Charmante Wohnung in ZH-Wipkingen|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000934344
7|2.5 Zimmer, 62m², CHF 2’475.– | CHF 2’475.– |Hinterbergstrasse 57, 8044 Zürich|2.5 Zimmerwohnung am ruhigen und sonnigen Zürichberg!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000925186
7|2.5 Zimmer, 46m², CHF 2’490.– | CHF 2’490.– |Schaffhauserstr. 438, 8050 Zürich|SEEBACHERHOF - Exklusive Wohnräume in historischem Glanz!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000920596
7|4.5 Zimmer, 123m², CHF 4’224.– | CHF 4’224.– |Birchstrasse 183B, 8050 Zürich|Attraktive Wohnung in Zürich-Oerlikon|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000908701
7|4.5 Zimmer, 123m², CHF 4’224.– | CHF 4’224.– |Birchstrasse 183B, 8050 Zürich|Attraktive Wohnung in Zürich-Oerlikon|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000906746
7|2 Zimmer, 51m², CHF 1’543.– | CHF 1’543.– |Schaffhauserstr. 411, 8050 Zürich|Befristete 2 Zimmer Wohnung an sehr zentrale Lage|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000898642
7|3 Zimmer, 97m², CHF 3’990.– | CHF 3’990.– |Breitingerstrasse 27, 8002 Zürich|Exklusive und neu erstellte 3-Zimmer-Dachwohnung im schönen Enge-Quartier|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000898127
7|3 Zimmer, 67m², CHF 2’130.– | CHF 2’130.– |Hardaustrasse 21, 8003 Zürich|Befristet für 1 Jahr - Stadtwohnung mit Charme nähe Albisriederplatz|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000896839
7|3.5 Zimmer, 102m², Preis auf Anfrage | Preis auf Anfrage |Zollikerstrasse 6, 8008 Zürich|ERSTVERMIETUNG EXKL. MAISONETTE-WOHNUNG MIT DACHTERRASSE IM SEEFELD|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000895595
7|3.5 Zimmer, 126m², CHF 6’575.– | CHF 6’575.– |Seestrasse 27, 8002 Zürich|Live Above - Exklusive Mietwohnung über dem FIFA World Football Museum|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000874027
7|2.5 Zimmer, 109m², CHF 3’705.– | CHF 3’705.– |Forchstrasse 261, 8032 Zürich|Trendy - Chic - Urban - Ihr Loft-Traum mit grosser Terrasse|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000871472
7|2.5 Zimmer, 109m², CHF 3’705.– | CHF 3’705.– |Forchstrasse 261, 8032 Zürich|Trendy - Chic - Urban - Ihr Loft-Traum mit grosser Terrasse|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000869819
8|4 Zimmer, 55m², CHF 2’990.– | CHF 2’990.– |Beckenhofstrasse 30, 8006 Zürich|Gemütliche und zentral gelegene 4-Zimmerwohnung|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4000765945
8|4 Zimmer, 55m², CHF 2’990.– | CHF 2’990.– |Beckenhofstrasse 30, 8006 Zürich|Originelle 4-Zimmerwohnung im Kreis 6|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4000765255
8|4.5 Zimmer, 119m², CHF 4’660.– | CHF 4’660.– |Forsterstrasse 67, 8044 Zürich|4.5 Zimmer-Wohnung mit Aussicht auf den Zürichsee|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4000752026
8|3 Zimmer, 68m², CHF 3’150.– | CHF 3’150.– |Pfirsichstrasse 9, 8006 Zürich|Urbaner Luxus im Herzen vom Kreis 6, mit erstklassigen Annehmlichkeiten!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4000736020
8|2 Zimmer, 50m², CHF 2’570.– | CHF 2’570.– |Steinstrasse 35, 8003 Zurich|Erstbezug! Neurenovierte 2-Zimmerwohnung mit Balkon an der Steinstrasse 35 in Zürich|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4000557618
8|5.5 Zimmer, 152m², CHF 4’300.– | CHF 4’300.– |Spiserstrasse 15, 8047 Zürich|Traumhafte 5.5 Zimmer Haushälfte!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4000418436
8|1.5 Zimmer, 23m², CHF 1’900.– | CHF 1’900.– |Bernerstrasse Süd 169, 8048 Zürich|City Pop - Your flexible solution for long and short stays!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/3003501705
8|1.5 Zimmer, 24m², CHF 1’960.– | CHF 1’960.– |Hagenholzstrasse 59, 8050 Zürich|City Pop - Your flexible solution for long and short stays!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/3003381291
8|4.5 Zimmer, 117m², CHF 4’227.– | CHF 4’227.– |Käferholzstrasse 42, 8057 Zürich|Modernes wohnen im Guggachpark!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4001022282
8|2.5 Zimmer, 102m², CHF 4’355.– | CHF 4’355.– |Aemtlerstr. 17, 8003 Zürich|Exklusives Loft mit Terrasse, zwischen Schmiede Wiedikon und Goldbrunnenplatz|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4001022256
8|3.5 Zimmer, 87m², CHF 3’940.– | CHF 3’940.– |Eugen-Huber-Str. 113, 8048 Zürich|Modern Living - Altstetten|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4001021207
8|3 Zimmer, 66m², CHF 1’884.– | CHF 1’884.– |Luegislandstr. 56, 8051 Zürich|Mieten ohne Kaution|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4001020868
8|3.5 Zimmer, 73m², CHF 2’000.– | CHF 2’000.– |Stiglenstrasse 33, 8052 Zürich|Ruhiges Wohnquartier|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4001019512
8|4 Zimmer, 80m², CHF 2’620.– | CHF 2’620.– |Im Brächli 43, 8053 Zürich|Ansprechende Wohnung an begrünter Lage in Witikon|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4001018075
8|2.5 Zimmer, 54m², CHF 1’769.– | CHF 1’769.– |Sihlweidstrasse 64, 8041 Zürich-Leimbach|Gemütliche 2.5-Zimmerwohnung in Zürich|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4001017552
8|3.5 Zimmer, 97m², CHF 5’080.– | CHF 5’080.– |Wuhrstrasse 30, 8003 Zürich|Modern furnished 2-bedroom attic apartement with spacious terrace for rent|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4001016244
8|2.5 Zimmer, 50m², CHF 2’500.– | CHF 2’500.– |Doldertal 19, 8032 Zürich|Wohnen in denkmalgeschütztem Haus an bevorzugter Wohnlage|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4001015835
8|2 Zimmer, 56m², CHF 1’830.– | CHF 1’830.– |Bombachsteig 6, 8049 Zürich|charmante Wohnung an Zentraler Lage|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4001015799
8|6.5 Zimmer, 213m², CHF 8’560.– | CHF 8’560.– |Zollikerstrasse 203, 8008 Zürich|GARTENWOHNUNG MIT SEESICHT IM HAMBERGERPARK|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4001013916
8|2 Zimmer, 58m², CHF 2’252.– | CHF 2’252.– |Dufourstrasse 123, 8008 Zürich|Wohnung im schönen Seefeld!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=8/mieten/4001013263
9|4 Zimmer, 109m², CHF 4’043.– | CHF 4’043.– |Freiestrasse 216, 8032 Zürich|Grosszgügige Wohnung im Kreis 7 nähe Hirslanden|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=9/mieten/4001012230
9|2.5 Zimmer, 81m², CHF 3’601.– | CHF 3’601.– |Haldenstrasse 14, 8045 Zürich|Wohnung mit hochwertigem Ausbaustandard|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=9/mieten/4001012222
9|2.5 Zimmer, 60m², CHF 3’150.– | CHF 3’150.– |Wuhrstrasse 34, 8003 Zürich|Gemütliche 2.5-Zimmerwohnung mit eigener Dachterrasse in Wiedikon zu vermieten|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=9/mieten/4001009549
9|2.5 Zimmer, 117m², CHF 2’900.– | CHF 2’900.– |Eichstrasse 25, 8045 Zürich|Spezielles Wohnerlebnis an zentraler Lage|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=9/mieten/4001002965
9|4.5 Zimmer, 138m², CHF 6’645.– | CHF 6’645.– |Freiestrasse 53, 8032 Zürich|Bijou mit eigener Dachterrasse|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=9/mieten/4001002867
